Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
72,0,19.3763,18.7403,-0.37671,8.48882,11.6427,19.8391,5.94964,58.1044,-93.9657,-14.6668,-41.5443,-105.159,398.57,55.1735,631.243
73,0,19.1998,18.6247,0.0626741,8.35689,12.0207,19.834,5.75185,57.9723,-94.2967,-14.5356,-41.5836,-105.282,398.312,55.3872,631.206
74,0,17.919,19.5897,-0.101426,8.55697,11.5647,19.8519,5.88565,57.8888,-94.1483,-14.4856,-41.5617,-105.3,398.035,55.5249,631.155
75,0,18.0174,4.51199,6.94545,10.5812,-9.15301,-0.403076,6.78622,57.291,-91.3694,-14.5494,-41.3797,-105.317,397.779,55.6972,631.184
76,0,18.0834,4.89076,10.5655,10.3997,-9.59323,-0.715076,6.66751,57.3827,-91.6074,-14.4948,-41.2895,-105.326,397.593,55.8642,631.237
77,0,17.6292,4.96957,11.1252,10.1077,-9.95263,-0.856934,6.49069,57.416,-91.833,-14.5419,-41.2609,-105.319,397.458,55.9929,631.287
78,0,17.0402,5.10213,12.9499,9.83729,-10.4418,-0.997203,6.34475,57.3921,-91.9873,-14.5476,-41.2229,-105.359,397.252,56.1434,631.336
79,0,16.9907,5.51121,15.3707,9.45339,-11.0562,-1.02917,6.29374,57.3683,-91.9629,-14.5933,-41.1958,-105.337,397.108,56.2407,631.378
80,0,16.0243,8.5454,2.58481,8.79342,-9.72398,0.986712,6.31175,57.2552,-91.6722,-14.6707,-41.1507,-105.393,396.873,56.2629,631.367
81,0,17.6422,4.74483,-1.30627,9.05279,-16.319,-5.73181,6.32469,57.2065,-91.5151,-14.6088,-41.0523,-105.447,396.771,56.4206,631.51
82,0,18.7621,3.07361,-1.4116,8.98893,-19.4405,-8.62674,6.24675,57.1144,-91.5228,-14.6036,-41.0655,-105.521,396.665,56.4246,631.577
83,0,17.7949,4.98181,1.66639,8.38405,-16.1679,-4.88523,6.24266,57.0072,-91.3359,-14.585,-41.0189,-105.626,396.524,56.4445,631.569
84,0,18.3401,5.19404,0.769813,8.14158,-16.316,-4.8904,6.24961,56.9694,-91.2334,-14.5654,-40.981,-105.679,396.43,56.4596,631.684
85,0,14.9088,23.3228,0.632679,5.92032,10.5036,20.6167,5.39645,57.4046,-93.9283,-14.3891,-41.2442,-105.771,396.359,56.4826,631.489
86,0,14.968,23.7331,1.32155,5.77378,10.3294,20.8389,5.48865,57.3505,-93.714,-14.3868,-41.189,-105.778,396.309,56.4757,631.569
87,0,14.9955,23.8495,1.11922,5.60568,10.391,20.9452,5.52461,57.3196,-93.7684,-14.3712,-41.2352,-105.744,396.263,56.4321,631.655
88,0,14.9955,23.8495,1.11922,5.60568,10.391,20.9452,5.52461,57.3196,-93.7684,-14.3712,-41.2352,-105.744,396.263,56.4321,631.655
89,0,14.9955,23.8495,1.11922,5.60568,10.391,20.9452,5.52461,57.3196,-93.7684,-14.3712,-41.2352,-105.744,396.263,56.4321,631.655
90,0,14.9955,23.8495,1.11922,5.60568,10.391,20.9452,5.52461,57.3196,-93.7684,-14.3712,-41.2352,-105.744,396.263,56.4321,631.655
91,0,14.8991,23.7521,0.343268,5.08617,10.2828,20.5495,5.52754,57.2654,-93.5128,-14.3561,-41.324,-105.842,396.251,56.1559,631.733
92,0,14.8991,23.7521,0.343268,5.08617,10.2828,20.5495,5.52754,57.2654,-93.5128,-14.3561,-41.324,-105.842,396.251,56.1559,631.733
93,0,15.8239,25.1861,-1.17699,4.21255,10.1511,21.0417,5.4231,57.3046,-93.4048,-14.4751,-41.2883,-105.834,396.217,55.9314,631.771
94,0,13.6215,21.4413,-0.238128,3.72915,9.36623,20.4308,6.06666,56.7636,-90.6155,-14.6756,-41.022,-105.914,396.169,55.793,632.046
95,0,13.6215,21.4413,-0.238128,3.72915,9.36623,20.4308,6.06666,56.7636,-90.6155,-14.6756,-41.022,-105.914,396.169,55.793,632.046
96,0,16.4951,36.2439,6.20745,4.62702,5.28807,24.1373,5.76164,56.948,-92.1862,-14.484,-41.2293,-106.058,396.28,55.5436,631.916
97,0,15.0977,25.9862,-1.26673,4.07042,9.34852,21.6353,5.8671,57.0426,-92.0717,-14.661,-41.1901,-105.897,396.258,55.4205,631.942
98,0,15.0977,25.9862,-1.26673,4.07042,9.34852,21.6353,5.8671,57.0426,-92.0717,-14.661,-41.1901,-105.897,396.258,55.4205,631.942
99,0,15.0977,25.9862,-1.26673,4.07042,9.34852,21.6353,5.8671,57.0426,-92.0717,-14.661,-41.1901,-105.897,396.258,55.4205,631.942
100,0,15.4438,26.5256,-0.33846,4.06916,8.53552,22.1243,6.19768,56.9647,-91.6117,-14.704,-41.2016,-105.798,396.45,55.0973,631.958
101,0,15.4438,26.5256,-0.33846,4.06916,8.53552,22.1243,6.19768,56.9647,-91.6117,-14.704,-41.2016,-105.798,396.45,55.0973,631.958
102,0,15.4742,26.2677,-1.42526,4.18816,8.71168,22.0194,6.16768,56.9891,-91.4162,-14.579,-40.997,-106.048,396.639,54.8105,632.005
103,0,15.2119,25.8611,-0.300589,4.21862,8.99186,22.0299,6.05626,56.9274,-91.3403,-14.4921,-40.8964,-106.296,396.728,54.5773,632.08
104,0,15.335,25.6509,-1.83862,4.31257,8.74871,22.1447,6.22948,56.9204,-91.1065,-14.5336,-40.8833,-106.238,396.846,54.3635,632.126
105,0,15.335,25.6509,-1.83862,4.31257,8.74871,22.1447,6.22948,56.9204,-91.1065,-14.5336,-40.8833,-106.238,396.846,54.3635,632.126
106,0,15.3025,25.6929,0.218808,4.64705,7.99936,22.5582,6.48841,56.9346,-90.5727,-14.7318,-40.7638,-106.21,396.997,53.8198,632.286
107,0,15.6582,26.0953,-0.650022,4.3456,7.73932,22.9668,6.59549,56.8666,-89.9666,-14.7931,-40.5894,-106.353,397.091,53.5291,632.429
108,0,16.3831,27.3269,0.248006,4.01301,7.78184,23.9956,6.5663,56.9767,-89.8546,-14.9598,-40.3981,-106.335,397.197,53.1446,632.592
109,0,16.8324,28.0406,0.135831,3.73605,8.39161,24.8036,6.24125,57.1574,-90.2736,-15.098,-40.2573,-106.333,397.344,52.874,632.692
110,0,16.8068,28.0139,0.163185,3.58192,8.5883,24.8213,5.97056,57.2456,-90.2411,-15.1284,-40.053,-106.544,397.485,52.6376,632.754
111,0,16.7564,28.2589,1.83909,3.80064,9.13498,24.847,5.56167,57.6811,-90.9926,-15.1479,-39.8127,-106.511,397.65,52.4757,632.761
112,0,16.6455,28.4118,2.25344,3.95563,9.23304,24.5697,5.33401,58.0442,-91.2214,-15.2142,-39.5366,-106.549,397.786,52.2158,632.723
113,0,16.5954,15.6392,0.164252,6.31964,-7.85146,7.34431,5.55393,58.2232,-90.5997,-15.3919,-39.3288,-106.415,398.006,51.8284,632.828
114,0,16.9777,14.2071,1.91821,5.8533,-6.76309,7.50444,5.29744,58.3621,-90.3027,-15.3655,-39.0029,-106.779,398.25,51.493,633.073
115,0,22.0844,3.11958,0.381834,7.28797,-21.5921,-8.94319,4.83337,58.6364,-90.6775,-15.5176,-38.7976,-106.979,398.424,50.9949,633.17
116,0,24.432,0.230153,-1.44767,8.08514,-27.7793,-14.6903,5.12412,58.5777,-89.8992,-15.5874,-38.6814,-107.116,398.672,50.5189,633.253
117,0,25.2922,-0.0939656,-2.47344,8.33602,-30.171,-16.126,5.44532,58.36,-88.7226,-15.5018,-38.4207,-107.44,398.94,50.17,633.345
118,0,28.5285,-3.35294,-1.78841,9.79443,-38.3152,-23.5508,5.76367,58.4398,-88.0289,-15.6627,-38.129,-107.39,399.051,49.8524,633.288
119,0,30.666,-6.855,1.64536,10.473,-41.8388,-27.8808,5.51972,58.8895,-88.7091,-15.7507,-37.8286,-107.261,399.261,49.5839,633.4
120,0,32.3923,-6.76176,-1.93751,10.4248,-42.6189,-29.8164,4.983,59.3451,-89.6479,-15.8581,-37.5277,-107.295,399.511,49.2698,633.619
121,0,17.7595,25.3449,1.50033,3.24424,10.6221,25.2144,4.18625,59.8125,-91.1868,-16.1446,-37.3512,-107.331,399.762,48.715,633.814
122,0,17.619,25.57,2.41958,3.11774,9.69259,25.6323,4.63617,59.6846,-90.1843,-16.3084,-37.2321,-107.382,400.086,48.182,633.973
123,0,26.4012,44.9551,24.0332,2.72719,-1.87597,30.1101,5.78322,59.3144,-87.6788,-16.2341,-37.2954,-107.364,400.428,47.8215,633.513
124,0,17.8163,49.3417,4.01264,2.78092,-2.34311,29.3918,5.43351,59.8697,-87.7092,-16.2199,-36.751,-107.629,400.739,47.4606,633.646
125,0,16.4511,45.6946,3.62888,3.80207,-0.216481,27.4284,4.46015,60.5835,-88.9706,-16.2145,-36.1951,-108.023,400.953,47.1205,633.871
126,0,16.226,23.8834,-0.855058,3.89925,9.79583,23.4837,3.96479,60.921,-89.9168,-16.2285,-35.5128,-108.398,401.231,46.6469,634.381
127,0,17.3941,26.4478,2.6904,3.27124,9.22981,25.8405,4.28049,60.7716,-89.0327,-16.3274,-35.0783,-108.554,401.598,46.1302,634.701
128,0,18.6593,29.0503,3.45095,2.73042,7.39585,27.5171,5.08658,60.6791,-87.5792,-16.6138,-34.7111,-108.445,401.948,45.5315,635.011
129,0,17.7936,27.7314,1.18482,3.07904,6.53544,25.9505,5.31781,61.0412,-86.9623,-16.8175,-34.3586,-108.504,402.308,45.0103,635.211
130,0,16.4695,25.7908,0.999072,3.88276,7.93431,24.9115,4.44504,61.6568,-88.4268,-16.8988,-34.1,-108.659,402.672,44.5613,635.407
131,0,16.0819,29.8862,0.315323,5.3764,8.1443,30.4171,5.22701,60.3504,-88.62,-16.4638,-34.2078,-109.13,403.233,44.2031,635.273
132,0,17.0619,45.9276,-6.71331,-0.101435,37.7995,52.5502,3.2171,62.2542,-88.7842,-17.0813,-33.1351,-109.432,403.306,43.7385,635.414
133,0,19.1022,43.3068,-1.09552,-0.139145,34.7245,50.3308,3.78425,62.0043,-87.5761,-16.9438,-32.8945,-109.828,403.815,43.1458,635.694
134,0,14.6102,33.0511,-0.349954,2.77351,15.8206,34.3643,4.42291,61.8479,-86.4508,-17.0498,-32.5233,-110.017,404.179,42.5144,635.782
135,0,10.2376,20.261,-18.7768,6.89349,-5.71352,12.5855,3.97155,62.2972,-86.6526,-17.1098,-31.7824,-110.374,404.388,42.1751,635.944
136,0,12.0879,22.487,-5.33018,5.30759,4.45805,19.812,3.1111,63.3204,-87.9885,-17.3174,-31.1786,-110.361,404.672,41.7245,636.318
137,0,13.3135,23.6687,-0.805129,4.76717,7.93466,23.2244,2.97021,63.249,-88.0664,-17.2079,-30.889,-110.757,405.261,41.2622,636.735
138,0,12.8052,26.6681,-0.520126,4.54989,8.00095,26.826,3.96755,62.7199,-86.2656,-17.4054,-30.6688,-110.927,405.676,40.6362,636.689
139,0,3.54968,25.495,-1.55743,6.05493,8.42818,26.3209,4.32951,62.7349,-83.5049,-17.4962,-30.2017,-111.428,406.043,40.0941,636.394
140,0,6.94489,22.2344,-19.5193,10.0899,24.5593,19.0297,-4.47177,67.7205,-102.559,-17.2042,-30.7454,-111.427,406.672,39.4275,635.815
141,0,10.553,17.7312,-0.917722,9.84594,20.3763,15.3566,-4.58967,67.3357,-101.682,-17.2107,-30.2417,-112.247,407.112,38.9186,635.916
142,0,10.6451,19.9755,-0.195789,9.61978,24.8129,18.1517,-5.33784,68.0404,-102.353,-17.2443,-29.673,-112.468,407.65,38.4695,636.133
143,0,10.5203,21.4149,0.909164,10.2964,27.7347,21.1052,-5.74811,68.238,-102.893,-17.3442,-29.2551,-112.742,408.177,37.834,636.548
144,0,12.6818,43.7022,-10.2384,0.871187,32.2471,48.8348,1.99247,64.698,-86.6689,-18.3589,-27.4629,-112.806,408.014,37.1582,637.99
145,0,12.0956,23.8876,-3.36786,5.72295,3.33672,20.9081,2.61829,65.0856,-85.968,-18.3707,-26.8082,-112.937,408.305,36.6345,638.243
146,0,14.054,10.3995,-6.66595,9.15788,-14.1344,2.69218,2.62424,65.192,-85.5789,-18.4461,-26.3078,-113.377,408.768,35.9733,638.4
147,0,12.1316,18.4284,-2.17022,6.58322,-0.896785,14.9832,2.15909,65.6374,-85.3691,-18.5428,-25.5981,-113.954,409.192,35.3602,638.566
148,0,11.0946,31.6482,-4.01348,3.75764,17.6249,33.9056,2.04954,65.4075,-84.7706,-18.4662,-25.153,-114.742,409.653,34.8004,638.771
149,0,11.1469,32.2607,-0.543715,4.15098,16.1374,33.6507,1.84735,65.6202,-84.5851,-18.6984,-24.616,-115.086,410.085,34.1627,639.137
150,0,7.99914,24.3301,-2.31008,11.7463,32.5081,23.6356,-7.78504,69.9567,-102.945,-18.0602,-25.521,-115.546,410.955,33.6493,637.86
151,0,11.0107,47.7301,-14.4813,0.897361,37.1338,53.3672,0.876266,66.3018,-85.616,-19.1089,-23.6161,-115.629,410.88,32.8528,639.653
152,0,10.6339,25.5472,1.44514,6.18218,6.95624,24.1283,1.0282,66.5839,-85.5028,-19.2987,-23.0295,-115.814,411.169,32.2787,639.945
153,0,10.807,25.3347,-2.29244,5.57557,7.02572,23.827,1.20594,66.8294,-84.658,-19.4485,-22.4277,-116.289,411.577,31.456,640.257
154,0,11.8941,28.8629,2.00229,4.94628,11.4425,29.5877,1.88768,66.8484,-83.8874,-19.6069,-22.0791,-116.407,412.097,30.6096,640.424
155,0,10.3709,20.1754,-4.67841,6.88104,-1.09093,16.9127,2.1413,67.1571,-83.0962,-19.8497,-21.4402,-116.712,412.48,29.9121,640.461
156,0,12.9785,11.869,-2.43789,8.63461,-11.5092,5.78262,1.701,67.4512,-83.6835,-20.0764,-20.9267,-116.962,412.794,29.227,640.751
157,0,4.3247,7.18294,-0.973068,10.1761,-11.4469,6.13871,2.0036,66.5884,-80.8263,-20.1255,-20.8297,-117.917,413.231,28.6877,640.564
158,0,14.2095,2.73076,-7.64738,10.0013,6.97896,-5.13549,-9.03333,71.5013,-102.233,-19.5167,-21.5086,-118.52,414.13,27.9121,639.704
159,0,14.21,1.70022,-0.8463,8.90374,8.46368,-5.57659,-10.3071,71.7822,-103.026,-19.5624,-20.9648,-119.283,414.565,27.2286,640.072
160,0,15.0134,-0.517161,-0.876003,8.79117,6.49095,-7.15661,-9.9771,71.7705,-101.927,-19.8015,-20.3672,-119.808,414.786,26.5805,640.193
161,0,9.45096,14.5455,2.09077,11.1011,24.6312,11.4446,-10.9972,72.1555,-103.192,-19.9003,-19.9516,-120.333,415.255,25.7831,640.487
162,0,7.91511,18.532,1.40048,12.0472,27.0649,15.5681,-10.3458,72.5094,-102.436,-20.0977,-19.3434,-120.468,415.598,25.0058,640.744
163,0,10.8449,6.92973,-2.45923,10.5634,16.2248,2.60415,-9.69601,73.3762,-101.978,-20.2312,-18.709,-120.213,416.007,24.4207,640.885
164,0,14.8623,2.89738,4.02232,10.3447,-20.1804,-4.9209,0.0973358,69.2447,-83.6389,-21.3125,-16.5731,-120.603,415.863,23.6821,642.883
165,0,9.64691,20.197,-3.86797,6.92426,0.467198,17.6133,0.0477822,68.9339,-83.1318,-21.442,-16.2652,-121.376,416.425,22.8637,643.148
