Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm

Segments
200
,,Mathew:HandOuter,,,,,,Mathew:LowerArm,,,,,,Mathew:Thumb,,,,,,Mathew:UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
200
,,Mathew:shoulder,,,Mathew:shoulderElbowSupport,,,Mathew:elbow,,,Mathew:wrist,,,Mathew:elbowWrist,,,Mathew:Triangle1,,,Mathew:Triangle2,,,Mathew:ThumbTip,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1686,0,-352.576,620.404,554.791,-320.901,658.845,469.591,-267.255,699.166,359.197,-276.651,912.146,167.437,-252.521,813.205,237.181,-225.663,945.489,114.732,-319.065,928.088,78.7829,-308.086,958.186,19.3089
1687,0,-353.106,619.634,554.83,-321.526,657.888,469.497,-267.71,697.372,359.086,-275.835,910.988,168.021,-252.314,811.87,237.344,-224.61,944.191,115.391,-318.7,928.152,80.5348,-307.62,956.887,19.1531
1688,0,-353.894,618.576,554.888,-322.189,656.429,469.505,-267.95,695.482,359.066,-274.936,909.873,168.742,-252.025,810.251,237.599,-223.725,942.97,115.949,-318.312,929.253,81.7297,,,
1689,0,-355.019,617.448,554.946,-322.927,654.838,469.574,-268.401,693.617,358.99,-274.06,908.742,169.847,-251.701,808.594,238.139,-222.62,941.761,116.911,-317.703,930.474,83.6455,-305.338,966.324,25.2342
1690,0,-355.78,616.715,555.094,-323.802,653.581,469.314,-268.845,691.605,358.901,-273.21,907.636,170.83,-251.404,806.956,238.755,-221.365,940.168,118.146,-317.236,931.349,86.1045,-304.255,965.792,26.0246
1691,0,-356.615,615.84,555.276,-324.424,651.906,469.332,-269.226,689.709,358.962,-272.29,906.385,171.652,-251.154,805.296,239.011,-220.489,938.77,118.886,-316.775,932.101,88.2413,-302.833,965.133,27.2917
1692,0,-357.716,614.661,555.257,-325.463,650.329,469.139,-269.505,687.185,358.927,-271.279,905.119,172.721,-250.927,803.494,239.431,-219.511,937.48,119.752,-316.51,932.353,90.3288,-301.487,964.732,28.2263
1693,0,-358.676,613.561,555.274,-326.001,648.885,469.343,-269.909,685.257,358.876,-270.316,903.931,174.079,-250.518,801.628,240.072,-218.388,935.886,121.195,-315.758,932.47,91.7729,-300.35,964.346,29.1737
1694,0,-359.468,612.663,554.98,-326.704,647.567,469.535,-270.418,683.04,358.83,-269.315,902.846,175.49,-250.364,799.875,240.711,-217.509,934.702,122.385,-314.568,932.145,93.3608,-298.931,963.658,31.4385
1695,0,-360.261,611.464,554.979,-327.822,645.719,469.243,-270.766,680.681,358.827,-268.305,901.441,176.878,-250.013,797.969,241.08,-216.189,933.175,124.172,-313.227,931.506,94.9616,-297.8,963.41,33.3915
1696,0,-361.301,610.204,555.355,-328.709,644.085,468.864,-271.227,678.362,358.842,-267.258,900.162,178.672,-249.586,796.153,241.79,-215.072,931.775,125.632,-311.886,930.808,96.1255,,,
1697,0,-362.287,609.328,555.784,-328.775,642.338,469.587,-271.654,675.793,358.822,-266.254,898.951,179.967,-249.161,794.201,242.839,-214.011,930.417,127.258,-310.745,929.345,97.9495,-295.977,965.663,38.6113
1698,0,-363.111,608.297,555.973,-329.254,640.482,469.922,-272.086,673.366,359.126,-265.25,897.248,181.587,-249.058,792.325,243.444,-212.917,928.854,128.977,-309.701,928.003,99.2636,-296.018,967.722,43.5728
1699,0,-364.346,606.931,555.716,-329.991,638.578,470.219,-272.688,671.263,359.198,-264.104,895.94,183.268,-248.681,790.094,244.061,-211.863,927.583,130.653,-308.265,926.9,100.931,-295.267,969.551,47.9711
1700,0,-365.334,606.037,555.838,-330.816,637.078,470.175,-273.2,668.672,359.467,-263.07,894.51,185.149,-248.436,787.697,244.985,-210.282,925.987,132.501,-306.666,926.101,102.89,-293.383,971.86,51.1833
1701,0,-365.93,605.033,556.257,-332.045,635.363,469.925,-273.838,666.006,359.634,-261.828,892.895,187.22,-248.326,785.875,245.808,-208.903,924.356,134.236,-305.245,925.375,105.344,-292.038,972.113,54.2701
1702,0,-367.03,603.556,556.499,-333.087,633.45,470.253,-274.483,663.575,359.685,-260.615,891.547,189.164,-247.647,783.612,246.928,-207.742,923.068,136.339,-304.149,924.77,107.983,-290.313,971.809,56.6239
1703,0,-367.925,602.314,557.158,-333.829,631.778,470.525,-274.952,660.945,359.69,-259.373,889.732,190.951,-247.194,781.663,247.852,-206.466,921.437,138.256,-303.024,924.488,110.682,-289.301,970.648,59.2783
1704,0,-368.588,601.238,557.525,-334.513,630.145,470.542,-275.624,658.161,359.851,-258.034,887.995,192.778,-247.072,779.133,248.679,-204.994,919.59,140.42,-302.396,925.29,114.554,-287.882,969.54,61.4675
1705,0,-369.558,599.871,557.714,-335.331,628.253,470.841,-276.254,655.531,359.94,-256.632,886.411,194.715,-246.773,776.95,249.832,-203.908,917.924,142.393,-301.261,926.49,117.544,-286.172,968.554,64.3246
1706,0,-370.555,598.726,557.858,-335.704,626.522,471.267,-276.84,653.128,360.11,-255.593,884.576,197.099,-246.579,774.642,250.615,-202.417,915.913,144.927,-300.211,926.672,120.918,-284.419,968.754,66.9222
1707,0,-371.529,597.612,557.891,-336.875,624.417,471.413,-277.587,650.382,360.403,-253.943,883.101,199.564,-246.456,772.142,251.949,-201.098,914.384,147.38,-298.834,926.59,124.714,-282.741,968.658,70.829
1708,0,-372.7,596.308,558.137,-338.18,622.781,471.225,-278.262,647.492,360.74,-253.144,881.259,201.893,-246.032,770.136,252.887,-199.728,912.655,149.821,-297.137,926.36,127.898,-280.894,968.959,74.8826
1709,0,-374.043,595.194,558.389,-339.096,620.877,471.317,-279.142,644.888,360.812,-251.849,879.184,204.039,-245.587,767.548,254.478,-198.038,910.793,152.637,-295.919,925.773,130.891,-278.956,969.932,78.4654
1710,0,-375.011,594.153,558.648,-339.871,619.156,471.331,-279.863,642.201,361.019,-250.554,877.406,206.323,-245.415,765.086,255.447,-196.57,908.932,154.724,-294.414,924.776,134.104,-276.763,970.014,82.5707
1711,0,-375.958,592.762,559.341,-340.781,617.27,471.659,-280.728,639.489,361.292,-248.954,875.424,208.912,-245.226,762.932,256.692,-195.071,907.005,157.548,-292.869,924.433,137.545,-274.871,970.408,86.6281
1712,0,-377.279,591.605,559.17,-341.55,615.426,472.39,-281.708,636.654,361.403,-247.854,873.673,211.263,-244.984,760.331,257.789,-193.683,905.091,160.351,-290.955,924.12,140.466,-272.593,970.391,90.4259
1713,0,-378.413,590.49,559.303,-342.502,613.296,472.517,-282.61,634.074,361.48,-246.596,871.589,213.836,-245.139,757.958,259.282,-192.224,902.948,163.071,-289.247,923.225,143.905,-270.502,970.391,94.5048
1714,0,-379.627,589.104,559.655,-343.471,611.648,472.446,-283.63,631.214,361.449,-245.135,869.457,216.693,-244.729,755.312,260.679,-190.684,901.047,165.664,-287.395,922.108,147.771,-268.171,969.857,98.7753
1715,0,-381.007,588.019,560.052,-344.926,609.751,472.278,-284.462,628.521,361.979,-243.771,867.352,219.162,-244.447,752.804,261.97,-189.076,899.067,169.057,-285.357,921.005,150.451,-266.13,969.366,103.331
1716,0,-381.57,586.691,560.551,-345.854,607.986,472.81,-285.569,625.712,361.985,-242.357,865.268,221.694,-244.344,750.436,263.422,-187.129,896.975,172.182,-283.595,919.991,153.555,-263.753,968.889,107.524
1717,0,-382.692,585.28,560.582,-346.84,606.093,473.277,-286.569,622.978,362.454,-240.898,863.012,224.584,-244.092,747.87,264.708,-185.341,894.675,175.008,-281.537,918.858,157.052,-261.471,968.861,111.318
1718,0,-384.122,584.101,560.371,-347.826,604.371,473.414,-287.866,620.529,362.685,-239.607,860.84,227.39,-243.63,744.942,265.878,-183.79,892.532,178.238,-279.835,917.914,161.753,-258.963,968.212,115.636
1719,0,-385.585,583.071,560.659,-348.434,602.248,473.884,-289.11,617.583,362.653,-238.079,858.631,230.186,-243.457,742.282,267.628,-182.188,890.125,181.268,-278.086,917.23,165.131,-256.758,967.491,120.173
1720,0,-387.011,581.729,560.917,-349.426,600.356,474.316,-290.129,614.706,362.921,-236.818,855.997,232.562,-243.363,739.781,269.013,-180.566,887.491,184.342,-276.446,915.312,167.408,-254.531,967.256,125.298
1721,0,-388.14,580.691,561.041,-350.567,598.56,474.722,-291.28,612.072,363.108,-235.067,853.675,235.523,-242.9,737.13,271.034,-178.634,885.276,187.809,-274.176,913.867,171.714,-251.993,966.762,129.664
1722,0,-389.093,579.635,561.281,-351.846,596.951,474.815,-292.511,609.674,363.563,-233.592,851.092,238.574,-242.734,734.368,271.888,-176.538,882.552,191.177,-272.295,912.515,176.213,-249.427,966.123,133.406
1723,0,-390.504,578.195,561.589,-353.472,595.171,474.331,-293.853,606.744,363.881,-232.354,848.543,241.369,-242.836,731.604,273.553,-174.736,879.971,194.264,-270.526,910.52,178.939,-247.121,965.953,138.264
1724,0,-391.664,577.206,561.866,-354.469,593.5,474.985,-295.327,603.961,363.834,-230.7,845.956,244.01,-242.708,728.53,274.542,-172.997,877.441,197.752,-268.657,910.988,183.798,-244.446,964.757,142.84
1725,0,-392.783,576.079,562.045,-355.504,591.573,475.723,-296.844,601.469,364.044,-229.027,843.097,246.821,-242.37,725.698,276.312,-170.931,874.559,200.924,-266.6,910.607,188.403,-241.743,965.444,149.266
1726,0,-393.964,574.712,562.271,-356.363,590.021,475.95,-297.843,598.686,364.329,-227.566,840.189,249.951,-242.171,722.989,277.982,-169.203,871.48,204.077,-263.69,909.403,192.858,-239.104,965.043,153.882
1727,0,-394.922,573.612,562.688,-357.586,588.133,476.009,-299.248,595.714,364.774,-226.368,837.712,252.828,-242.371,719.947,279.213,-167.48,868.421,207.506,-262.379,907.845,197.304,-236.623,962.098,157.231
1728,0,-396.411,572.598,562.589,-358.797,586.598,476.198,-300.703,592.919,364.587,-224.856,834.913,255.329,-242.207,716.926,280.675,-165.576,865.466,210.86,-260.098,905.675,200.871,-233.959,959.091,160.272
1729,0,-397.77,571.482,562.95,-359.671,584.414,476.895,-302.163,590.231,364.872,-223.201,831.585,258.171,-242.074,714.429,282.222,-164.12,861.919,213.339,-257.339,903.179,204.289,-231.099,956.401,164.295
1730,0,-398.821,570.311,563.448,-360.852,582.477,477.364,-303.498,587.548,365.361,-221.745,828.541,261.185,-242.114,711.492,284.11,-162.608,858.531,216.136,-254.768,901.485,207.869,-227.851,954.963,169.262
1731,0,-400.249,569.489,563.416,-361.991,580.794,477.58,-304.909,584.623,365.399,-220.382,825.603,264.001,-242.196,708.312,285.252,-160.577,855.422,220.253,-253.094,899.72,212.203,-224.794,953.327,173.945
1732,0,-401.494,568.337,563.54,-363.628,579.077,477.677,-306.694,581.782,365.684,-219.114,822.699,266.738,-242.067,705.355,286.87,-158.828,851.971,223.201,-250.69,897.754,216.018,-221.837,951.699,178.313
1733,0,-402.526,567.223,563.935,-365.015,577.368,478.075,-308.028,579.486,366.357,-217.537,819.435,269.5,-242.035,702.735,288.584,-157.224,848.443,226.113,-248.114,895.828,219.751,-218.964,950.388,183.447
1734,0,-403.81,566.188,564.223,-365.962,575.398,478.496,-309.516,577.088,366.712,-216.066,816.012,272.143,-242.211,699.326,289.899,-155.262,844.703,229.445,-245.744,893.557,222.921,-215.681,950.419,189.558
1735,0,-404.928,565.349,564.445,-367.15,573.853,478.562,-311.402,573.932,366.155,-214.901,812.724,274.849,-242.345,696.253,291.198,-152.128,841.155,234.358,-243.483,891.062,226.533,-212.8,949.343,194.396
1736,0,-405.961,564.177,564.647,-368.715,572.117,478.692,-312.98,571.165,366.673,-213.407,809.157,277.613,-242.463,693.462,292.645,-150.461,837.683,237.539,-240.588,888.311,230.363,-209.799,945.871,197.902
1737,0,-407.472,562.946,564.861,-370.525,570.605,478.744,-314.479,568.64,366.893,-212.001,805.829,280.624,-242.412,690.005,293.929,-148.548,833.766,240.297,-238.155,885.549,233.693,-206.183,943.256,202.123
1738,0,-408.941,562.157,565.025,-371.991,568.709,478.748,-315.574,565.025,366.559,-210.752,802.553,282.989,-242.831,687.454,296.129,-147.096,829.775,242.808,-236.065,883.075,237.167,-203.077,941.125,207.235
1739,0,-410.474,561.178,565.074,-373.523,567.08,479.083,-318.006,562.836,366.98,-209.348,799.107,285.636,-242.325,683.699,297.316,-145.693,825.966,246.315,-233.787,880.459,240.825,-200.066,939.593,212.066
1740,0,-411.704,559.964,565.285,-375.048,565.439,479.563,-319.607,560.642,367.51,-208.277,795.471,288.27,-242.167,680.411,298.925,-143.653,821.994,249.609,-230.662,877.958,244.956,-196.934,936.435,215.401
1741,0,-412.613,558.91,565.567,-376.618,563.99,479.461,-321.043,558.041,368.462,-206.993,791.853,290.786,-242.515,677.232,300.191,-141.819,817.92,252.636,-227.755,875.083,248.801,-193.666,932.3,218.521
1742,0,-414.109,558.107,565.8,-378.397,562.109,479.181,-322.514,555.217,368.863,-205.634,788.348,293.529,-242.703,674.205,301.671,-139.944,813.757,255.702,-225.717,872.336,252.131,-190.848,929.711,223.096
1743,0,-415.316,556.672,566.223,-380.3,560.421,479.743,-324.482,552.903,368.715,-204.252,784.465,295.87,-242.978,671.109,302.897,-138.215,809.357,258.302,-223.526,869.21,254.909,-187.977,927.046,227.02
1744,0,-416.8,556.011,566.22,-381.406,558.756,480.106,-326.376,550.312,369.354,-202.991,780.599,298.27,-243.176,667.726,304.392,-136.858,805.261,261.579,-220.961,865.946,257.955,-184.65,923.833,230.608
1745,0,-418.054,555.094,566.159,-382.938,557.006,480.087,-328.075,547.584,369.611,-201.828,776.841,300.922,-243.238,664.402,306.164,-135.23,800.996,264.698,-218.851,862.866,261.215,-181.558,919.322,234.02
1746,0,-419.722,554.194,566.469,-385.032,555.737,480.164,-329.915,545.132,369.741,-200.775,773.043,303.295,-243.428,661.124,307.39,-133.427,796.404,267.491,-215.833,859.563,264.587,-178.846,915.109,237.183
1747,0,-420.807,552.814,566.756,-386.938,553.858,480.294,-331.815,542.609,370.217,-199.514,768.882,305.42,-243.625,657.609,308.904,-131.827,791.676,270.223,-213.024,855.913,267.78,-175.64,911.192,240.5
1748,0,-422.054,551.608,567.019,-388.727,552.474,480.205,-333.504,539.951,370.67,-198.248,764.949,307.723,-243.889,654.504,310.059,-130.766,787.363,272.536,-210.752,852.258,270.589,-172.349,907.307,243.656
1749,0,-423.654,551.22,566.741,-390.542,550.916,480.468,-335.496,537.39,370.938,-197.163,760.943,309.972,-244.34,651.018,311.572,-128.87,782.692,275.3,-208.865,848.587,273.507,-169.194,903.162,246.83
1750,0,-425.19,550.507,566.789,-391.895,549.423,480.872,-337.416,534.808,371.32,-196.106,756.898,312.211,-244.524,647.844,312.647,-126.971,777.902,278.246,-206.605,845.4,276.122,-165.991,898.835,250.045
1751,0,-426.618,549.227,567.328,-393.517,548.012,481.004,-339.668,532.182,371.589,-195.317,753.063,314.381,-244.827,644.292,313.761,-125.605,773.15,280.917,-204.25,841.75,278.841,-162.143,894.709,253.695
1752,0,-427.682,548.143,567.818,-395.257,546.473,481.281,-341.377,530.199,371.839,-194.019,748.887,316.588,-245.303,640.648,315.19,-124.424,768.708,282.762,-202.127,837.726,281.748,-159.536,890.704,257.034
1753,0,-428.794,547.276,568.085,-396.951,545.059,481.605,-343.389,527.932,372.582,-192.907,744.443,318.529,-245.627,637.439,316.36,-123.519,763.777,284.794,-200.368,833.982,284.451,-156.061,886.282,260.415
1754,0,-430.345,546.489,568.254,-398.603,543.62,481.332,-345.406,525.703,372.916,-192.117,740.085,320.215,-246.399,633.747,317.324,-121.956,758.61,287.471,-197.679,829.482,286.763,-152.551,881.843,263.43
1755,0,-432.145,545.848,568.258,-400.473,542.089,481.762,-347.582,523.752,372.942,-191.243,735.836,322.303,-246.789,630.297,318.466,-120.763,754.06,289.751,-195.263,825.282,289.595,-149.46,877.367,266.443
1756,0,-433.466,544.902,568.737,-402.303,541.099,481.695,-349.652,521.276,373.315,-190.363,731.675,324.179,-247.141,626.723,319.716,-119.599,749.017,291.352,-193.226,821.329,292.27,-146.497,872.868,269.326
1757,0,-435.027,543.938,568.745,-403.737,539.603,481.955,-351.439,519.187,373.76,-189.453,727.375,326.116,-247.609,623.309,320.757,-118.641,744.155,293.092,-191.494,817.427,294.726,-143.63,868.439,271.877
1758,0,-436.263,543.387,568.946,-405.102,538.002,482.552,-353.585,516.982,374.077,-188.549,722.751,327.87,-248.215,619.945,321.862,-117.845,738.954,294.785,-189.759,813.654,297.296,-141.093,863.656,274.316
1759,0,-437.791,542.751,569.041,-406.365,537.035,483.191,-355.835,514.799,374.364,-187.631,718.107,329.431,-248.87,616.468,322.973,-116.896,733.818,296.657,-187.522,809.393,299.528,-138.068,858.619,277.114
1760,0,-439.53,542.021,569.208,-408.041,535.76,483.157,-357.799,512.599,374.584,-186.897,713.895,330.976,-249.491,613,323.929,-115.597,728.586,298.505,-185.417,804.875,301.652,-134.894,853.68,280.248
1761,0,-440.578,541.241,569.42,-410.071,534.361,483.264,-359.907,510.48,374.795,-186.268,709.359,332.482,-250.235,609.474,325.115,-114.735,723.248,300.146,-183.454,800.36,303.807,-131.784,848.701,282.971
1762,0,-441.725,540.28,569.886,-412.054,533.255,483.324,-362.046,508.32,375.571,-185.58,704.623,334.039,-250.991,606.211,326.014,-114.049,718.058,301.874,-181.648,795.809,306.021,-128.856,843.46,285.189
1763,0,-443.189,539.567,569.985,-413.064,531.955,483.728,-364.172,506.221,375.911,-185.016,700.133,335.552,-251.587,602.54,327.251,-112.644,712.772,303.986,-179.904,791.381,308.109,-125.997,838.355,287.487
1764,0,-444.483,539.035,570.123,-414.958,530.652,484.052,-366.236,504.24,375.735,-184.422,695.659,336.951,-252.322,599.123,328.044,-112.079,707.295,305.228,-177.843,787.105,310.177,-123.451,833.13,289.725
1765,0,-445.841,538.491,570.11,-416.586,529.764,484.392,-368.355,502.176,376.319,-184.169,690.943,338.266,-253.227,595.656,329.05,-111.473,701.983,306.204,-176.107,782.495,311.756,-120.822,827.922,292.043
1766,0,-447.006,537.63,570.445,-417.937,528.673,484.715,-370.341,500.248,376.775,-183.48,686.017,339.502,-254.216,592.259,329.751,-110.65,696.395,307.441,-174.401,777.617,313.541,-118.187,822.552,294.475
1767,0,-448.141,536.759,571.042,-419.64,527.247,485.003,-372.543,498.322,377.092,-183.08,681.727,340.712,-254.923,588.576,330.576,-110.477,691.131,308.443,-172.588,772.846,315.363,-115.938,817.123,296.019
1768,0,-449.599,536.066,571.241,-420.275,525.902,486.203,-374.717,496.471,377.476,-182.605,676.891,341.764,-256.002,584.878,331.311,-109.762,685.648,310.02,-170.827,768.273,316.864,-113.741,811.538,297.678
1769,0,-451.161,535.534,571.203,-421.81,524.554,485.955,-376.8,494.404,377.794,-182.258,672.066,342.786,-256.597,581.361,332.244,-109.03,680.134,311.472,-169.179,763.554,318.601,-111.184,805.993,299.641
1770,0,-452.412,535.084,571.393,-423.658,523.637,486.414,-379.099,492.535,378.053,-181.991,667.564,343.958,-257.686,577.792,332.79,-108.691,674.521,312.402,-167.508,758.642,320.568,-108.7,800.292,301.496
1771,0,-453.797,534.458,572.088,-426.21,522.381,486.553,-381.117,490.722,378.571,-181.622,662.7,345.002,-258.615,574.279,333.69,-108.455,668.879,312.87,-165.777,754.055,321.946,-106.325,794.788,303.412
1772,0,-454.954,533.705,572.535,-427.426,521.389,486.454,-383.567,488.975,378.761,-181.373,657.864,346.029,-259.567,570.807,334.228,-107.943,663.507,313.935,-163.749,749.294,323.758,-104.545,789.126,304.04
1773,0,-456.266,532.994,572.509,-429.114,520.391,486.659,-385.631,487.029,379.186,-181.167,653.258,346.875,-260.704,566.94,334.418,-107.851,657.714,314.708,-162.269,744.061,325.153,-102.527,783.204,305.679
1774,0,-457.575,532.297,572.669,-430.939,519.505,487.186,-387.893,485.374,379.44,-181.112,648.315,347.729,-261.732,563.423,335.043,-107.949,652.296,315.532,-161.081,739.132,326.178,-100.358,777.447,307.256
1775,0,-459.166,531.672,572.934,-432.728,518.627,486.933,-389.964,483.615,379.518,-180.949,643.461,348.367,-263.159,559.994,335.535,-107.872,646.474,315.913,-159.827,734.075,327.11,-98.1834,771.507,308.764
1776,0,-460.578,531.332,572.967,-434.558,517.732,487.132,-392.108,481.821,380.211,-181.114,638.755,348.801,-264.131,556.654,336.4,-107.723,640.989,316.874,-157.656,729.15,328.943,-96.3252,765.518,309.965
1777,0,-461.905,530.982,573.179,-436.543,516.843,487.289,-394.6,480.332,380.174,-180.93,633.679,349.58,-265.654,552.986,336.647,-107.693,635.4,317.475,-156.18,724.035,330.037,-94.091,759.659,311.601
1778,0,-463.325,530.391,573.33,-438.239,515.712,486.874,-396.712,478.471,380.44,-181.142,629.106,350.061,-266.827,549.438,337.059,-107.804,629.401,317.572,-154.972,718.868,331.188,-92.2538,753.66,313.015
1779,0,-464.635,529.727,573.287,-439.903,514.944,487.449,-398.984,476.887,380.689,-181.122,624.106,350.704,-267.952,545.932,337.538,-108.152,623.882,318.066,-153.833,713.615,332.237,-90.8369,747.353,314.108
1780,0,-465.859,529.02,573.456,-441.865,514.345,487.859,-401.227,475.186,381.024,-181.337,619.25,351.06,-269.387,542.549,337.979,-108.041,618.166,318.682,-152.696,708.335,333.143,-88.9809,741.221,315.082
1781,0,-467.042,528.158,574.091,-443.55,513.76,487.72,-403.659,473.701,381.546,-181.763,614.559,351.533,-270.557,539.151,338.407,-108.428,612.214,318.799,-151.612,703.166,333.874,-87.1632,735.212,316.658
1782,0,-468.277,527.866,574.21,-444.875,512.76,487.978,-405.963,472.166,381.583,-182.14,609.539,351.996,-271.887,535.662,338.839,-108.794,606.432,318.972,-150.77,697.743,334.935,-85.5139,729.275,317.643
1783,0,-469.465,527.481,574.415,-447.14,511.856,488.131,-408.132,470.613,381.957,-182.363,604.651,352.371,-273.391,531.831,338.802,-109.14,600.772,319.515,-149.657,692.562,335.573,-84.2704,722.831,318.289
1784,0,-470.838,527.074,574.629,-448.693,511.138,488.151,-410.631,469.202,382.06,-182.782,599.959,352.448,-274.988,528.626,338.759,-109.52,594.973,319.674,-148.906,687.188,336.298,-83.0821,716.325,318.975
1785,0,-472.023,526.665,574.817,-450.275,510.483,488.381,-412.746,467.546,382.305,-183.184,594.85,352.454,-276.494,525.119,339.413,-110.336,589.094,319.596,-148.017,681.932,336.593,-81.5187,710.074,320.14
1786,0,-473.111,526.164,575.151,-452.107,509.615,488.576,-414.963,466.219,382.736,-183.773,590.305,352.531,-277.859,521.687,339.471,-111.136,583.446,319.806,-147.078,676.484,337.197,-80.0404,703.95,321.109
1787,0,-474.177,525.464,575.524,-453.54,508.861,488.819,-417.469,464.822,382.621,-184.122,585.368,352.641,-278.914,518.473,339.848,-111.459,577.529,319.613,-146.426,671.15,337.516,-78.7995,697.783,321.321
1788,0,-475.247,524.81,575.712,-455.127,508.32,489.207,-419.572,463.354,383.151,-184.838,580.295,352.405,-280.757,515.102,340.144,-112.323,571.912,319.511,-145.701,665.771,337.915,-77.6492,691.198,322.331
1789,0,-476.463,524.21,575.931,-456.96,507.671,489.359,-421.934,461.986,383.175,-185.421,575.702,352.586,-284.405,510.624,338.16,-112.996,566.145,319.499,-145.114,660.279,338.115,-77.0542,684.895,322.342
1790,0,-477.751,523.884,575.771,-458.492,506.793,489.096,-424.074,460.74,383.42,-186.043,570.91,352.442,-286.125,508.137,337.37,-114.165,560.257,318.823,-144.556,654.932,338.362,-76.0076,678.394,322.733
1791,0,-478.859,523.612,575.72,-459.988,505.917,489.072,-426.692,459.661,383.346,-186.997,565.954,352.018,-287.399,505.883,337.514,-114.945,554.531,318.84,-144.1,649.437,338.416,-75.1898,672.055,322.817
1792,0,-479.953,523.331,575.976,-461.624,505.016,489.519,-428.901,458.308,383.699,-187.667,561.281,352.041,-288.894,503.559,337.777,-115.483,548.647,318.569,-143.875,644.139,338.56,-74.338,665.865,322.896
1793,0,-481.135,523.015,576.104,-463.173,504.151,489.956,-431.07,456.952,383.751,-188.53,556.44,351.533,-290.082,501.107,338.021,-116.353,543.078,318.261,-143.415,638.597,338.747,-73.8056,659.563,322.891
1794,0,-482.299,522.593,576.287,-464.883,503.178,489.527,-433.431,456.071,383.946,-189.298,551.58,351.206,-290.754,495.343,339.295,-118.08,537.539,317.111,-143.305,633.46,338.616,-72.91,653.261,322.992
1795,0,-483.527,522.119,576.254,-466.138,502.848,490.003,-435.56,454.853,384.463,-190.537,547.224,350.972,-291.823,492.253,339.577,-119.09,532.227,316.477,-142.801,627.915,338.771,-72.2928,646.836,323.167
1796,0,-484.643,521.588,576.596,-468.071,502.395,490.414,-438.147,453.606,384.388,-191.299,542.381,350.23,-294.599,489.571,338.478,-120.583,526.672,315.573,-142.664,622.611,338.401,-72.0382,640.528,322.776
1797,0,-485.704,521.143,576.999,-469.87,502.095,490.171,-440.257,452.636,384.554,-192.274,537.661,349.981,-296.174,486.443,338.144,-121.807,521.231,315.112,-142.617,617.348,337.756,-71.8772,634.213,321.865
1798,0,-486.818,520.714,577.204,-471.003,501.671,490.027,-442.719,451.786,384.49,-193.548,533.093,349.193,-298.291,483.648,337.539,-123.326,515.806,314.049,-142.688,611.944,337.318,-71.4294,627.952,321.637
1799,0,-488.114,520.354,577.262,-472.7,500.742,490.254,-444.612,450.598,384.912,-194.402,528.108,348.776,-300.114,480.539,337.63,-124.693,510.32,313.147,-142.526,606.655,337.003,-71.378,621.652,321.253
1800,0,-489.104,520.063,577.579,-474.421,500.345,490.564,-446.909,449.54,385.131,-195.672,523.567,347.662,-301.988,477.603,337.292,-126.064,504.841,312.095,-142.754,601.457,336.294,-71.4265,615.525,319.824
1801,0,-489.99,519.672,577.893,-475.873,499.894,490.471,-449.146,448.73,385.08,-196.865,519.483,347.44,-303.786,474.625,336.738,-127.768,499.829,311.356,-143.004,596.228,335.731,-71.2834,609.317,319.503
1802,0,-491.258,519.652,577.598,-477.147,499.262,490.551,-451.187,447.87,385.319,-198.516,515.12,346.376,-305.815,471.606,336.419,-129.579,494.386,310.112,-143.077,590.948,335.454,-71.2704,603.294,318.798
1803,0,-492.445,519.493,577.65,-478.677,498.833,490.909,-453.666,446.918,385.165,-199.48,510.944,345.727,-307.442,468.516,336.276,-131.11,489.084,309.314,-143.493,585.829,334.787,-71.5492,597.383,317.432
1804,0,-493.6,519.309,577.745,-480.249,498.393,490.977,-455.523,445.971,385.523,-200.982,506.571,344.912,-309.718,465.89,335.527,-132.91,484.166,307.628,-144.17,580.818,333.446,-72.0468,591.25,316.523
1805,0,-494.586,519.027,577.687,-481.616,497.844,490.917,-457.866,445.119,385.362,-202.474,502.25,344.189,-311.8,463.183,335.142,-134.764,478.899,306.657,-144.652,575.547,333.047,-72.3762,585.206,315.605
1806,0,-495.391,518.723,577.858,-482.632,497.299,490.866,-459.902,444.312,385.584,-203.841,497.819,343.185,-313.828,460.362,334.747,-136.479,473.746,305.678,-145.054,570.66,332.506,-72.2509,579.616,314.881
