Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
71,0,453.7618,1.3706889,584.8358,550.0254,46.535686,398.76974,638.2322,98.48605,254.7081,644.5412,265.70514,167.048,639.80225,210.95828,189.75029,674.69806,286.1265,106.157135,587.93146,306.91028,125.48096,571.0904,312.98935,112.68562
72,0,454.20343,2.856165,585.7284,552.20264,48.159317,399.95148,642.31714,100.20147,256.42242,652.2299,267.58533,168.14058,645.7411,212.63419,191.21808,683.21844,287.3681,107.061,596.6505,308.76553,125.79226,580.22363,314.2266,113.44736
73,0,454.77594,4.302867,586.57465,554.4592,49.802982,401.12885,646.4389,101.94366,258.16455,659.91614,269.468,169.16739,651.6873,214.30077,192.69536,691.7068,288.60068,107.86656,605.34955,310.6277,126.04659,589.314,315.47595,114.180786
74,0,455.464,5.720216,587.38153,556.78174,51.46808,402.30142,650.5844,103.71157,259.92773,667.58954,271.35272,170.13133,657.6312,215.96109,194.17567,700.1606,289.82242,108.58469,614.02325,312.49414,126.240524,598.35864,316.73062,114.88367
75,0,456.25153,7.109965,588.15216,559.16766,53.156727,403.47015,654.7591,105.50247,261.70364,675.2388,273.2385,171.03517,663.56683,217.61528,195.65225,708.54926,291.0308,109.22446,622.6967,314.36404,126.3682,607.38367,317.9843,115.55365
76,0,456.99545,8.291744,588.8089,561.8864,54.900993,404.68234,659.44385,107.25906,263.40903,682.73145,275.10696,171.89929,669.5592,219.19118,197.0882,715.9502,292.20203,109.79869,632.29144,316.2806,126.32437,617.25385,319.22812,116.17877
77,0,457.83762,9.356051,589.37085,564.8699,56.665222,405.91364,664.40906,108.98931,265.08206,690.27246,276.9545,172.73787,675.83527,220.70424,198.53976,723.1944,293.30777,110.29302,642.4741,318.23193,126.09068,627.89526,320.44608,116.760826
78,0,458.83533,10.3447485,589.8537,568.0797,58.431637,407.15463,669.6025,110.68909,266.7517,698.00323,278.78333,173.54814,682.39856,222.1655,200.01901,730.565,294.32523,110.71422,653.2181,320.2115,125.66665,639.1889,321.62735,117.29707
79,0,460.13394,11.232577,590.59607,570.9838,60.146057,408.63928,675.0465,112.18911,268.51688,705.6998,280.41736,174.30359,689.0362,223.44846,201.37,737.8321,294.97766,111.085396,664.1351,322.2089,125.22802,650.8446,322.98486,117.83163
80,0,461.71933,12.084305,591.75586,573.4996,61.742146,410.46283,680.4109,113.441986,270.45963,713.4889,281.73526,174.9412,695.6502,224.53296,202.59335,745.1923,295.1044,111.417206,674.91315,324.14417,124.92778,662.53436,324.5697,118.37878
81,0,463.3322,12.994599,593.05255,576.25165,63.26428,412.36343,685.4631,114.65223,272.50058,721.70667,282.89145,175.47066,702.37244,225.54327,203.91292,753.20404,294.92685,111.68732,685.71716,325.9767,124.64378,674.3219,326.10034,118.88943
82,0,465.00586,13.907405,594.40594,579.1344,64.75312,414.28464,690.5001,115.84407,274.6126,730.2872,283.9323,175.94995,709.2377,226.4951,205.2922,761.75824,294.5294,111.893936,696.6895,327.70697,124.32437,686.30743,327.51666,119.344055
