Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
32,0,443.23734,-102.025925,438.1334,358.57538,-7.577745,302.4659,281.73126,66.27697,183.99835,154.70514,216.14946,42.595238,200.79153,155.33757,101.41011,178.56708,261.6883,16.786858,71.53086,235.88449,21.89161,32.595318,280.4066,24.21933
33,0,443.65527,-102.682236,437.23578,358.36026,-7.829772,301.98715,280.85837,66.34954,184.00183,153.20795,216.0273,42.207367,199.34714,155.10219,101.334175,177.01971,261.5778,16.571062,70.14872,235.56502,21.5343,31.126873,280.03998,24.192875
34,0,444.0145,-103.34906,436.34723,358.0803,-8.088181,301.52075,279.9183,66.423065,184.0268,151.6168,215.89949,41.81722,197.81273,154.85669,101.2711,175.37943,261.46277,16.353632,68.681526,235.22847,21.173151,29.584646,279.65616,24.164679
35,0,444.3135,-104.02684,435.46823,357.73404,-8.353708,301.06732,278.91107,66.497246,184.07413,149.93295,215.76598,41.42442,196.18874,154.60066,101.22098,173.64713,261.34314,16.134392,67.13132,234.87506,20.808224,27.970564,279.25586,24.135456
36,0,444.55078,-104.71614,434.59924,357.32025,-8.62706,300.62756,277.8364,66.571815,184.14494,148.15805,215.6266,41.028572,194.47641,154.3337,101.18396,171.8251,261.21863,15.913182,65.50012,234.50505,20.439442,26.287361,278.83994,24.105822
37,0,444.7246,-105.417404,433.7409,356.8377,-8.908944,300.20233,276.6943,66.64651,184.24031,146.29408,215.48125,40.629303,192.67714,154.05547,101.160194,169.91563,261.089,15.689834,63.790443,234.11867,20.066689,24.53802,278.40915,24.076334
38,0,444.83344,-106.1311,432.89413,356.28494,-9.200028,299.79254,275.485,66.72109,184.36154,144.34334,215.32974,40.226242,190.79233,153.76556,101.1499,167.92145,260.95398,15.464226,62.005116,233.71626,19.689743,22.725712,277.96442,24.047531
39,0,444.87537,-106.8577,432.05975,355.66083,-9.500964,299.39935,274.20865,66.79534,184.51,142.30829,215.17189,39.819016,188.824,153.46362,101.153336,165.8461,260.81314,15.236281,60.147396,233.29811,19.308323,20.854477,277.50665,24.019863
40,0,444.84872,-107.59756,431.23898,354.96402,-9.812362,299.0241,272.86542,66.869095,184.68721,140.19191,215.00746,39.407227,186.77425,153.14928,101.170784,163.69283,260.6661,15.005883,58.22065,232.8645,18.922014,18.928543,277.03683,23.993717
41,0,444.75177,-108.351006,430.43304,354.1933,-10.134743,298.66815,271.45584,66.94216,184.89485,137.9974,214.83623,38.990475,184.64539,152.82219,101.20262,161.46574,260.5124,14.772957,56.22883,232.4158,18.530266,16.952509,276.556,23.969435
42,0,444.58252,-109.11836,429.64334,353.34723,-10.468614,298.3332,269.98016,67.01449,185.13478,135.72801,214.65793,38.568306,182.43977,152.48198,101.24922,159.16922,260.3515,14.537387,54.175816,231.95233,18.132505,14.931097,276.06522,23.947313
