Depth,Landmark.z,Ratio
1.2190001010894775,-0.029491335153579712,finger
1.2730000019073486,1.5322406454743032e-07,wrist
1.2320001125335693,-0.031178761273622513,finger
1.2290000915527344,1.6698439253559627e-07,wrist
1.2290000915527344,-0.03163041174411774,finger
1.2590000629425049,1.647016460992745e-07,wrist
1.2170000076293945,-0.03299625962972641,finger
1.2420001029968262,1.5341613845976099e-07,wrist
1.249000072479248,-0.031546980142593384,finger
0.0,1.4242142754028464e-07,wrist
1.2540000677108765,-0.033381812274456024,finger
0.0,1.4672619386146835e-07,wrist
1.4100000858306885,-0.033510640263557434,finger
1.2340000867843628,1.2320388975695096e-07,wrist
1.443000078201294,-0.03220877796411514,finger
0.0,1.1058313020839705e-07,wrist
1.443000078201294,-0.03191789984703064,finger
1.2290000915527344,1.0890764912119266e-07,wrist
1.436000108718872,-0.03218277171254158,finger
1.2190001010894775,9.389587773966923e-08,wrist
1.4200000762939453,-0.0369848795235157,finger
0.0,9.269806611200693e-08,wrist
1.4260001182556152,-0.03705347701907158,finger
0.0,9.490647556731346e-08,wrist
1.4100000858306885,-0.0368863046169281,finger
0.0,1.1561037638330163e-07,wrist
1.4070000648498535,-0.038323357701301575,finger
0.0,1.199935439899491e-07,wrist
1.4100000858306885,-0.038737744092941284,finger
0.0,1.196879537701534e-07,wrist
1.4000000953674316,-0.03693963214755058,finger
0.0,1.2193076770472544e-07,wrist
1.4040000438690186,-0.03752605617046356,finger
0.0,1.2438096064215642e-07,wrist
1.4170000553131104,-0.04072846099734306,finger
0.0,1.1567752977725831e-07,wrist
1.4000000953674316,-0.04034539684653282,finger
0.0,1.3158847878003144e-07,wrist
1.4070000648498535,-0.04101003333926201,finger
1.215000033378601,1.1666784871522395e-07,wrist
1.4070000648498535,-0.040677621960639954,finger
1.2000000476837158,1.101467645980847e-07,wrist
1.4200000762939453,-0.04024729132652283,finger
0.0,1.1269706590155693e-07,wrist
1.4170000553131104,-0.03924679011106491,finger
1.2440000772476196,1.2925956127674e-07,wrist
1.4100000858306885,-0.03780556842684746,finger
1.2470000982284546,1.6575620520598022e-07,wrist
1.4200000762939453,-0.03763441741466522,finger
0.0,1.993867755345491e-07,wrist
1.4200000762939453,-0.03899071365594864,finger
0.0,1.960750779517184e-07,wrist
1.4500000476837158,-0.040652018040418625,finger
0.0,2.181413378821162e-07,wrist
0.0,-0.04125814512372017,finger
1.2700001001358032,2.3070283816650772e-07,wrist
1.2170000076293945,-0.042147520929574966,finger
1.2730000019073486,2.176593483227407e-07,wrist
1.2070000171661377,-0.038391098380088806,finger
1.2780001163482666,2.0207656348247838e-07,wrist
1.2050000429153442,-0.03489762172102928,finger
0.0,1.9577589682739927e-07,wrist
1.2050000429153442,-0.03130798414349556,finger
1.2940000295639038,1.8199446571998124e-07,wrist
1.2120000123977661,-0.028015995398163795,finger
1.308000087738037,1.8257088640893926e-07,wrist
1.2000000476837158,-0.02691599167883396,finger
1.3160001039505005,1.8038382165741496e-07,wrist
1.2030000686645508,-0.025268666446208954,finger
1.2970000505447388,1.7766413407116488e-07,wrist
1.2000000476837158,-0.022413931787014008,finger
1.308000087738037,1.7376325445184193e-07,wrist
1.2070000171661377,-0.017422489821910858,finger
1.3160001039505005,1.7433680454814748e-07,wrist
1.2120000123977661,-0.01687568984925747,finger
1.2940000295639038,1.779172862370615e-07,wrist
1.2100000381469727,-0.013302378356456757,finger
1.311000108718872,1.7640856242451264e-07,wrist
1.215000033378601,-0.00792528223246336,finger
1.3160001039505005,1.7117039874392503e-07,wrist
1.2030000686645508,-0.0007408210076391697,finger
1.3250000476837158,1.5371081474313542e-07,wrist
1.2100000381469727,-0.0003578786563593894,finger
1.3280000686645508,1.5718688928245683e-07,wrist
1.2120000123977661,0.004930542316287756,finger
1.319000005722046,1.4704554018862837e-07,wrist
1.2100000381469727,0.007784246001392603,finger
1.3450000286102295,1.4059315844860976e-07,wrist
1.2440000772476196,0.008304244838654995,finger
1.3330000638961792,1.3518194919015514e-07,wrist
1.2120000123977661,0.03155582770705223,finger
1.3330000638961792,1.7696159204660944e-07,wrist
1.2340000867843628,0.05544028431177139,finger
1.3390001058578491,1.4391083880127553e-07,wrist
0.0,0.0471632219851017,finger
1.3420000076293945,1.6138041303292994e-07,wrist
1.4000000953674316,0.06998628377914429,finger
1.3450000286102295,1.6936849078774685e-07,wrist
1.4470000267028809,0.08770020306110382,finger
1.3360000848770142,1.5505489159295394e-07,wrist
1.443000078201294,0.08477506041526794,finger
1.3420000076293945,1.4037365758667875e-07,wrist
1.440000057220459,0.08480044454336166,finger
1.3510000705718994,1.3699202838779456e-07,wrist
1.436000108718872,0.08376909047365189,finger
1.3450000286102295,1.40991232910892e-07,wrist
1.4260001182556152,0.08526720106601715,finger
1.3480000495910645,1.5149829835081619e-07,wrist
1.433000087738037,0.08760707080364227,finger
1.3540000915527344,1.4758707322926057e-07,wrist
1.433000087738037,0.08696961402893066,finger
1.3480000495910645,1.558651376853959e-07,wrist
1.436000108718872,0.08612000197172165,finger
1.3450000286102295,1.4686632709981495e-07,wrist
1.433000087738037,0.08496283739805222,finger
1.3510000705718994,1.6352775844552525e-07,wrist
1.4260001182556152,0.08686582744121552,finger
1.3450000286102295,1.536753728714757e-07,wrist
1.4300000667572021,0.09379774332046509,finger
1.3450000286102295,1.6040111461279594e-07,wrist
1.440000057220459,0.08775806427001953,finger
1.3480000495910645,1.5711069067947392e-07,wrist
1.440000057220459,0.08496784418821335,finger
