Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
54,0,411.64902,-80.884346,473.65955,333.37274,-1.2521877,322.65674,259.22137,60.101105,190.1201,109.37072,208.9752,53.33024,167.96771,149.04337,110.45358,139.14284,249.18028,17.181507,22.368986,229.09532,30.634684,-13.530515,273.45914,28.763752
55,0,412.07864,-80.50148,473.33295,333.6994,-1.1165055,322.50195,259.27115,60.185467,190.10864,108.805374,208.99031,53.242977,167.58769,148.96037,110.5022,138.3809,249.21382,17.148563,21.560385,228.80441,30.847782,-14.3594055,273.62643,28.91241
56,0,412.516,-80.141075,472.99646,334.04327,-0.98328435,322.34525,259.34113,60.25925,190.10037,108.299995,209.00833,53.14348,167.27957,148.88138,110.55534,137.68584,249.24821,17.115835,20.794424,228.51753,31.043848,-15.140246,273.796,29.045834
57,0,412.9648,-79.80287,472.65094,334.40118,-0.85488844,322.1866,259.42853,60.327366,190.0926,107.84044,209.02959,53.03759,167.01915,148.80583,110.60976,137.04669,249.28378,17.082838,20.060307,228.23627,31.228024,-15.886869,273.9636,29.167816
58,0,413.42642,-79.48558,472.2975,334.77112,-0.7317066,322.02597,259.53165,60.392857,190.08429,107.4183,209.05402,52.928886,166.79337,148.73311,110.66369,136.45485,249.32129,17.05001,19.35559,227.96074,31.40354,-16.603159,274.12717,29.280708
59,0,413.9009,-79.187775,471.9368,335.15213,-0.6136599,321.863,259.6494,60.45746,190.07481,107.028465,209.08136,52.819466,166.59506,148.6627,110.71635,135.90364,249.36134,17.017782,18.679934,227.69072,31.57253,-17.29017,274.2859,29.38625
60,0,414.3879,-78.90821,471.56943,335.54324,-0.5006328,321.6974,259.78073,60.52209,190.06377,106.66757,209.1113,52.710545,166.42003,148.59445,110.76748,135.38799,249.40436,16.986488,18.032896,227.4259,31.736422,-17.948374,274.43967,29.485765
61,0,414.87033,-78.68518,471.25592,335.88782,-0.38318166,321.5681,259.87393,60.605618,190.04604,106.447136,209.15604,52.64792,166.3602,148.54526,110.84884,134.88113,249.5043,16.995447,17.688114,227.18384,31.88051,-18.466002,274.54904,29.586275
62,0,415.31793,-78.5407,471.02173,336.17273,-0.25848055,321.48895,259.9161,60.707085,190.01913,106.379486,209.21472,52.654457,166.40953,148.52435,110.974075,134.44452,249.662,17.034817,17.67476,226.98203,31.991074,-18.80371,274.59286,29.68778
63,0,415.72305,-78.441,470.8147,336.4424,-0.13312922,321.42303,259.96075,60.805126,189.98851,106.33091,209.27184,52.691586,166.44179,148.51833,111.11208,134.1348,249.81078,17.045364,17.682425,226.81206,32.075363,-19.077677,274.60422,29.781242
64,0,416.09238,-78.366005,470.62265,336.6858,-0.0051647592,321.36304,260.0101,60.90306,189.95709,106.281105,209.3282,52.74337,166.44742,148.52211,111.25136,133.88788,249.94853,17.027699,17.68794,226.66281,32.140774,-19.326406,274.59723,29.864498
65,0,416.42822,-78.302315,470.44025,336.898,0.12572885,321.30856,260.05533,61.001682,189.92787,106.221924,209.38585,52.80338,166.43275,148.53363,111.39093,133.6738,250.08192,16.990479,17.681845,226.52992,32.1953,-19.568485,274.5818,29.941004
66,0,416.7356,-78.24644,470.26816,337.0827,0.25820857,321.2599,260.0859,61.104977,189.90001,106.1337,209.44789,52.86409,166.39032,148.55716,111.52776,133.45259,250.22134,16.9451,17.642048,226.40929,32.247314,-19.823524,274.56714,30.015978
67,0,417.0155,-78.19536,470.10413,337.23862,0.39137498,321.21463,260.09525,61.21283,189.87213,106.01961,209.51237,52.922615,166.31842,148.58926,111.65914,133.21375,250.3646,16.890682,17.576796,226.29808,32.29668,-20.094662,274.55374,30.088682
68,0,417.26852,-78.146614,469.94666,337.366,0.52503365,321.17117,260.08215,61.324856,189.84344,105.88139,209.57831,52.97748,166.21788,148.62791,111.78386,132.95569,250.51071,16.827572,17.488613,226.19446,32.343536,-20.381618,274.54175,30.158802
69,0,417.49823,-78.09571,469.7955,337.46674,0.65923315,321.12943,260.05106,61.442997,189.81645,105.72501,209.64626,53.028374,166.08879,148.67204,111.89908,132.69193,250.65819,16.756159,17.383507,226.0985,32.386696,-20.679049,274.52744,30.223463
70,0,417.7043,-78.042725,469.6498,337.54135,0.79433817,321.08865,259.99896,61.56607,189.78955,105.55259,209.71509,53.074074,165.93677,148.72104,112.00587,132.41692,250.80673,16.677,17.263596,226.00925,32.426315,-20.985773,274.51205,30.28317
71,0,417.88733,-77.987495,469.50885,337.59088,0.930768,321.04822,259.926,61.69324,189.76176,105.365074,209.78429,53.114445,165.76378,148.77469,112.10484,132.13004,250.95627,16.590965,17.129173,225.92606,32.462673,-21.301975,274.49658,30.338531
72,0,418.048,-77.929886,469.3721,337.6166,1.0687778,321.00757,259.83307,61.82395,189.73242,105.163376,209.85365,53.149746,165.57161,148.83287,112.19639,131.83173,251.1069,16.49899,16.980526,225.84837,32.496162,-21.628342,274.48163,30.390146
73,0,418.18683,-77.86843,469.2382,337.61847,1.2082947,320.96713,259.72174,61.95613,189.70251,104.9514,209.9232,53.182186,165.36635,148.89474,112.28297,131.52864,251.25906,16.402756,16.819078,225.77736,32.528152,-21.965275,274.46902,30.440296
74,0,418.30478,-77.802666,469.10635,337.59686,1.3488204,320.9269,259.5917,62.08837,189.67249,104.732506,209.99313,53.21277,165.1506,148.9598,112.36604,131.2233,251.4131,16.303333,16.647734,225.71387,32.5593,-22.312712,274.46033,30.490276
75,0,418.40262,-77.7333,468.9766,337.5532,1.4898689,320.8863,259.44205,62.220615,189.64154,104.50657,210.06366,53.24087,164.923,149.02826,112.445145,130.9131,251.56915,16.200975,16.46739,225.6577,32.589314,-22.670063,274.4562,30.539806
76,0,418.4816,-77.66087,468.8488,337.48856,1.6310266,320.84473,259.27377,62.352764,189.60919,104.273315,210.13493,53.266266,164.68393,149.10027,112.519875,130.59726,251.72743,16.096075,16.27825,225.60875,32.618183,-23.036304,274.45715,30.588842
77,0,418.54276,-77.58588,468.72287,337.4043,1.771917,320.8019,259.08798,62.48468,189.575,104.033,210.20705,53.28891,164.43427,149.17586,112.58984,130.2761,251.88809,15.989109,16.080547,225.56705,32.646027,-23.410347,274.46347,30.637352
78,0,418.5872,-77.50875,468.5986,337.3015,1.9121206,320.75748,258.8858,62.61618,189.53864,103.7865,210.28008,53.308876,164.17471,149.25502,112.65474,129.9502,252.05124,15.880629,15.87495,225.53258,32.67302,-23.790947,274.47534,30.685385
79,0,418.6161,-77.42997,468.47574,337.18164,2.0511878,320.71103,258.66876,62.747047,189.49982,103.53459,210.35403,53.326202,163.9067,149.33769,112.71423,129.62044,252.21693,15.771168,15.662445,225.50531,32.699333,-24.177202,274.49298,30.732979
80,0,418.62424,-77.35683,468.36008,337.05417,2.1882982,320.66046,258.44482,62.88142,189.45671,103.27607,210.42162,53.33853,163.6335,149.42532,112.76683,129.29008,252.37576,15.671368,15.449272,225.48137,32.725285,-24.54621,274.50604,30.782831
81,0,418.61377,-77.29357,468.2524,336.92633,2.3225586,320.6047,258.22235,63.01928,189.40976,103.01306,210.47844,53.345795,163.35574,149.5166,112.81029,128.96565,252.52214,15.586484,15.236969,225.45784,32.749725,-24.89284,274.51007,30.83547
82,0,418.59372,-77.236626,468.14758,336.79742,2.45327,320.54462,258.00327,63.156464,189.36086,102.75153,210.52766,53.35,163.07535,149.60837,112.84423,128.65034,252.66008,15.511973,15.022606,225.43555,32.771595,-25.23285,274.51102,30.888403
83,0,418.56808,-77.18314,468.04364,336.66806,2.579861,320.48083,257.7877,63.291615,189.31018,102.495895,210.57153,53.351387,162.7977,149.69942,112.86955,128.34518,252.79236,15.446106,14.808126,225.41502,32.791267,-25.569967,274.51154,30.940367
84,0,418.5392,-77.13163,467.93982,336.5395,2.7021616,320.41394,257.5761,63.424133,189.25772,102.24912,210.61171,53.350048,162.52689,149.78955,112.88715,128.05135,252.92064,15.388096,14.595998,225.39679,32.809326,-25.90283,274.51315,30.990751
85,0,418.5091,-77.08153,467.83588,336.4128,2.8201232,320.3442,257.3694,63.55364,189.20343,102.01326,210.64929,53.346188,162.26546,149.87897,112.897766,127.76986,253.04602,15.337459,14.388195,225.38121,32.826267,-26.229599,274.51663,31.03933
86,0,418.47937,-77.03275,467.73178,336.28955,2.933673,320.27203,257.16864,63.6799,189.14717,101.78968,210.68506,53.340065,162.01529,149.96788,112.901825,127.501884,253.16907,15.293765,14.18669,225.36864,32.842392,-26.54779,274.52237,31.08598
